status,kind,callable_key,symbol,isis9_symbol_type,isis10_symbol_type
added,method,Isis::APrioriZSigmaFilter::evaluate,"Isis::APrioriZSigmaFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const",,T
unchanged,method,Isis::APrioriZSigmaFilter::getImageDescription,Isis::APrioriZSigmaFilter::getImageDescription() const,T,T
unchanged,method,Isis::APrioriZSigmaFilter::getPointDescription,Isis::APrioriZSigmaFilter::getPointDescription() const,T,T
unchanged,method,Isis::APrioriZSigmaFilter::metaObject,Isis::APrioriZSigmaFilter::metaObject() const,T,T
unchanged,method,Isis::APrioriZSigmaFilter::qt_metacall,"Isis::APrioriZSigmaFilter::qt_metacall(QMetaObject::Call, int, void**)",T,T
unchanged,method,Isis::APrioriZSigmaFilter::qt_metacast,Isis::APrioriZSigmaFilter::qt_metacast(char const*),T,T
unchanged,data,,Isis::APrioriZSigmaFilter::staticMetaObject,D,D
unchanged,method,Isis::APrioriZSigmaFilter::~APrioriZSigmaFilter,Isis::APrioriZSigmaFilter::~APrioriZSigmaFilter(),T,T
unchanged,method,Isis::AbstractFilter::AbstractFilter,Isis::AbstractFilter::AbstractFilter(Isis::AbstractFilter const&),T,T
unchanged,method,Isis::AbstractFilter::AbstractFilter,"Isis::AbstractFilter::AbstractFilter(QFlags<Isis::AbstractFilter::FilterEffectiveness>, int)",T,T
unchanged,method,Isis::AbstractFilter::canFilterImages,Isis::AbstractFilter::canFilterImages() const,T,T
unchanged,method,Isis::AbstractFilter::canFilterMeasures,Isis::AbstractFilter::canFilterMeasures() const,T,T
unchanged,method,Isis::AbstractFilter::canFilterPoints,Isis::AbstractFilter::canFilterPoints() const,T,T
unchanged,method,Isis::AbstractFilter::createEffectivenessCheckBox,Isis::AbstractFilter::createEffectivenessCheckBox(QString),T,T
unchanged,method,Isis::AbstractFilter::createWidget,Isis::AbstractFilter::createWidget(),T,T
unchanged,method,Isis::AbstractFilter::evaluate,"Isis::AbstractFilter::evaluate(Isis::ControlMeasure const*, bool (Isis::ControlMeasure::*)() const) const",T,T
unchanged,method,Isis::AbstractFilter::evaluate,"Isis::AbstractFilter::evaluate(Isis::ControlPoint const*, bool (Isis::ControlPoint::*)() const) const",T,T
unchanged,method,Isis::AbstractFilter::evaluateFromCount,"Isis::AbstractFilter::evaluateFromCount(QList<Isis::ControlMeasure*>, bool) const",T,T
removed,method,Isis::AbstractFilter::evaluateImageFromMeasureFilter,"Isis::AbstractFilter::evaluateImageFromMeasureFilter(QPair<QString, Isis::ControlNet*> const*) const",T,
added,method,Isis::AbstractFilter::evaluateImageFromMeasureFilter,"Isis::AbstractFilter::evaluateImageFromMeasureFilter(std::pair<QString, Isis::ControlNet*> const*) const",,T
removed,method,Isis::AbstractFilter::evaluateImageFromPointFilter,"Isis::AbstractFilter::evaluateImageFromPointFilter(QPair<QString, Isis::ControlNet*> const*) const",T,
added,method,Isis::AbstractFilter::evaluateImageFromPointFilter,"Isis::AbstractFilter::evaluateImageFromPointFilter(std::pair<QString, Isis::ControlNet*> const*) const",,T
unchanged,method,Isis::AbstractFilter::evaluatePointFromMeasureFilter,Isis::AbstractFilter::evaluatePointFromMeasureFilter(Isis::ControlPoint const*) const,T,T
unchanged,method,Isis::AbstractFilter::filterChanged,Isis::AbstractFilter::filterChanged(),T,T
unchanged,method,Isis::AbstractFilter::getEffectivenessFlags,Isis::AbstractFilter::getEffectivenessFlags() const,T,T
unchanged,method,Isis::AbstractFilter::getImageDescription,Isis::AbstractFilter::getImageDescription() const,T,T
unchanged,method,Isis::AbstractFilter::getInclusiveExclusiveLayout,Isis::AbstractFilter::getInclusiveExclusiveLayout() const,T,T
unchanged,method,Isis::AbstractFilter::getMainLayout,Isis::AbstractFilter::getMainLayout() const,T,T
unchanged,method,Isis::AbstractFilter::getMeasureDescription,Isis::AbstractFilter::getMeasureDescription() const,T,T
unchanged,method,Isis::AbstractFilter::getPointDescription,Isis::AbstractFilter::getPointDescription() const,T,T
unchanged,method,Isis::AbstractFilter::inclusive,Isis::AbstractFilter::inclusive() const,T,T
